"ArtistID","ArtistName","SoundCloudFollowers","SpotifyListenerFollowerRatio","SpotifyMonthlyListeners","SpotifyPopularity","YoutubeChannelViews"
"214440","Rafferty","588","6.504469059","152094","44",
"245491","DM DOKURO","20449","4.508551949","152096","54","83060098"
"1472948","DJ Fistmagnet",,"889.456140351","152097","43",
"858340","Holly T","6885","34.471334693","152122","42","1308"
"13676","Alias",,"33.100739774","152131","42",
"211588","Mikael Wiehe",,"2.483505003","152142","47","8"
"208175","Gene Vincent & His Blue Caps",,"4.201789511","152151","43",
"79430","Elly Mangat","2813","0.7274696272","152151","45",
"423133","Bob Norberg",,"2669.368421053","152154","39",
"717640","Sabrina Lopes",,"1.597883042","152168","46","148566633"
"1545734","Song Ga In",,"28.67345016","152170","46",
"4060054","Leanna Firestone",,"9.439275524","152180","47",
"1113196","WENGIE",,"1.636143723","152181","47","119010425"
"310506","Leman Sam",,"0.8894428307","152181","46",
"3515530","David Tam",,"1135.746268657","152190","40",
"213375","Roberto Goyeneche","8","3.046297964","152190","48","3182046"
"746531","Tony Rosado Internacional Pacífico",,"1.802437262","152196","49","2313"
"1026711","Mili",,"5.038028728","152219","48",
"159903","Blutengel",,"1.257180847","152227","51","52501"
"26132","James Whitbourn",,"379.620947631","152228","25",
"111357","Charles Villiers Stanford",,"71.943289225","152232","41",
"298820","El Columpio Asesino","208","2.21937459","152238","45","1119710"
"3441264","Garena Free Fire",,"2.799393215","152245","47",
"1167103","Listener Kids",,"25.143848059","152246","49",
"202358","Downlink","125414","2.147095737","152257","45",
"821735","Prince Swanny","1525","18.864700781","152257","48",
"404188","Grupo Rebeldia","121","1.382174856","152259","48","4022"
"164364","Babert","2240","26.54707113","152274","44",
"323797","Ano","2330","2.951470987","152290","51","14179"
"214391","Bill Murray",,"36.416786227","152295","41",
"251201","Sławomir",,"2.624330146","152303","46","471948327"
"447483","Brighton Festival Chorus",,"559.952205882","152307","44",
"324355","MellowHype",,"0.9663733321","152313","43","787641"
"538038","LTGTR","8240","18.545841958","152317","43",
"190908","Becca Roth",,"99.359425962","152318","44",
"695152","AsapSCIENCE",,"5.825677898","152324","47","1475814470"
"667790","Antuigo",,"379.890274314","152336","39",
"39683","Christopher Willits","6385","15.183594139","152337","44","248412"
"602618","Danny Mulhern",,"117.278675905","152345","47",
"421352","Emelie Cyréus","145","103.707283867","152346","47",
"76389","Tony Succar",,"4.270321785","152348","50","46944597"
"3935840","Eli Joy",,"11719.230769231","152350","40",
"419542","The Exies",,"2.804355029","152355","43","616346"
"212411","Lance Butters","611","1.357732923","152358","50","40758594"
"212126","Airways","735","4.588159123","152359","44","538006"
"76702","DB Boulevard",,"28.939221273","152365","42",
"525647","Ellie & The Bunch",,"86.925270964","152380","44",
"566407","Nagita Slavina",,"4.287406449","152383","44","13675752"
"475769","Steve Green","156","2.533264621","152386","53","7948210"
"1634633","MC Duartt",,"54.997834717","152399","51",
"198915","Mackned","35700","3.250570545","152403","47",
"1117634","Charlotte Jane","281","27.744948116","152403","42","770562"
"216028","Karsh Kale","15749","0.9852541891","152407","44","2257632"
"246168","Josh Jacobson","3705","37.79985119","152409","42","530537"
"108119","Mümin Sarıkaya",,"4.903706325","152417","43",
"1289912","Marina Sena",,"36.596878752","152426","47","427405"
"444474","Tony Rice",,"4.933359226","152426","50",
"521511","DEADLIFE","4001","11.31907626","152434","48","691958"
"462016","Bullion","8032","11.021471949","152449","44",
"146278","Sir Michael Rocks","44223","2.465840719","152458","46","9489152"
"208745","POL1Z1STENS0HN a.k.a. Jan Böhmermann",,"4.016914767","152462","46","1270090"
"57359","Agatha Reilly",,"143.30075188","152472","48",
"1381343","AXYL",,"143.031894934","152472","53",
"210903","Koda","44933","4.722688555","152472","46","259964"
"309841","The Phenomenal Handclap Band",,"12.599074533","152474","42",
"1411691","Jayden Klight",,"1163.93129771","152475","41",
"1767253","Haj",,"1073.823943662","152483","45",
"1750545","Lazy3x",,"59.015866873","152497","51",
"475541","The Saw Doctors","1731","3.208255317","152498","48","9362428"
"341441","Liesbeth List","19","9.30253126","152515","44",
"57067","DJ Oku Luukkainen",,"17.58909007","152515","49",
"1554065","Una Más",,"113.310549777","152516","47",
"3784","Mindless Behavior",,"0.7720335508","152516","45","316324591"
"186948","Baltra","22035","5.502146387","152525","45",
"439354","Duende",,"8.526159866","152533","49","43291859"
"318863","Asleep At The Wheel","172","4.132982903","152536","45","1684097"
"215214","Ray Fuego","5494","13.183114414","152555","49",
"803502","Skye Lewin",,"225.017699115","152562","53",
"838019","Estani",,"17.182452979","152563","47",
"68409","White Noise Meditation",,"32.518329071","152576","63",
"315806","The Nextmen","12610","6.642288102","152580","45","193122"
"212531","Honeymoon Suite","53","1.979055351","152601","44","1612946"
"202630","Ashley Monroe","2000","1.282731491","152604","51","10740090"
"3658498","Dorothy Baughman",,"6635.086956522","152607","54",
"14073","Amilcare Ponchielli",,"16.344329014","152607","42","16570"
"487874","Cogumelo Plutão","55","43.161199095","152618","41","746700"
"420670","Andrew Rangell",,"273.548387097","152640","42",
"1364896","Flexxy 2115",,"284.781716418","152643","50",
"308203","Micky Modelle","2727","23.403648628","152662","44","81188"
"171018","Leftover Salmon","1917","2.495708751","152665","44","246438"
"3314163","HER-O",,"462.642424242","152672","47",
"560443","Amir Jamal",,"22.054600607","152684","42",
"5129","Niklas Ibach","93166","14.172932331","152685","46",
"89305","Pete Heller's Big Love",,"49.000962773","152687","42",
"134500","Orquestra e Coro Cid (Flabanda)",,"64.265151515","152694","42",
"316220","John Rzeznik",,"37.842627014","152695","46",
"1378849","Lucas Lex","24","12.781032895","152695","48",
"3696888","Carmine Sorrentino",,"3635.880952381","152707","39",
"470103","Madilyn Paige","1446","7.924857291","152712","45","24950371"
"865475","Poppy",,"151.353815659","152716","45",
"322352","Instrumental Core","21145","4.920989882","152718","48","48027558"
"44043","Non Phixion",,"3.072957746","152726","45",
"487596","Felipe Gordon","4511","32.195615514","152736","42",
"772264","Eli Teplin",,"79.385135135","152737","43",
"310429","Layo & Bushwacka!","5300","9.053997985","152750","43","16550"
"1378847","Brayke","4296","20.946112711","152760","47","926354"
"361","Luna",,"4.458671414","152763","44","796548046"
"1491702","cmqmartina",,"6.424222035","152768","49",
"3794907","Tophat Panda",,"198.66319896","152772","45",
"1596317","Annie Rojas",,"176.61849711","152775","43",
"325227","Atjazz","91457","5.436094506","152776","44","1514502"
"3878374","Esti Romeo",,"925.927272727","152778","47",
"206938","Candlemass",,"1.223386877","152779","47","22373"
"61160","Wipers",,"3.407882411","152789","46",
"1424406","Milos","3056","139.300820419","152813","44","75511"
"3585384","lofi lemur",,"374.549019608","152816","43",
